brand,product_name,shade_name,finish,color_family,source,lipstick_id,image_path,image_source_url,image_source_page,image_source_name,final_cluster,L_star,a_star,b_star,chroma,pixel_pct
Bobbi Brown,Luxe Cashmere Matte Lipstick,Pink Suede,matte,pink,Sephora pink lipstick listings,L0092,lipstick_images/swatches/L0092.jpg,https://media.ulta.com/i/ulta/2642604_alt01?w=800&h=800&fmt=auto,https://www.ulta.com/p/luxe-cashmere-matte-lipstick-pimprod2053550?sku=2642604,Ulta Beauty,3,41.05996666061605,25.046200427452476,15.975670862028238,29.707477431515095,26.332499999999996
Sarah Creal,Speak For Yourself Hydrating Lipstick,Pink Tax,hydrating,pink,Sephora pink lipstick listings,L0093,lipstick_images/swatches/L0093.jpg,https://m.media-amazon.com/images/I/711S+ClO3+L._AC_UL450_SY450_QL70_.jpg,https://www.amazon.com/clp/B0DPLR1DWQ,Amazon.com,3,69.46180627864429,41.68375816222459,-13.915270238379932,43.94508437054101,30.455825097334532
Givenchy,Rose Perfecto Shine Serum Lip Oil Stick,N118 - Mellow Pink,shine,pink,Sephora pink lipstick listings,L0094,lipstick_images/swatches/L0094.jpg,,,,1,57.67426182585875,30.675660135345993,8.973727276748491,31.961287614498815,23.335970827026284
Laura Mercier,Caviar Smoothing Matte Lipstick,620 Pink Tulle,matte,pink,Sephora pink lipstick listings,L0095,lipstick_images/swatches/L0095.jpg,https://frendsbeauty.com/cdn/shop/files/LM-Caviar-Smoothing-Matte-Lipstick-Pink-Tulle_700x700.jpg?v=1723841737,https://frendsbeauty.com/products/laura-mercier-caviar-smoothing-matte-lipstick?srsltid=AfmBOorljM9nO3w2Q0_Bx6_TLtmpn9pPUk_xxWxOGUI9izqKM1mxFw9n,Frends Beauty,4,41.54783587603146,41.236017910381975,16.13913797403916,44.28183541420134,17.18326530612245
MAC Cosmetics,M·A·Cximal Sleek Satin 8HR Full-Coverage Hydrating Lipstick,Pink Peppermint,satin,pink,Sephora pink lipstick listings,L0096,lipstick_images/swatches/L0096.jpg,https://www.sephora.com/productimages/sku/s2826154-av-1202512180615418000800-zoom.jpg?imwidth=315,https://www.sephora.com/product/mac-cosmetics-macximal-sleek-satin-lipstick-P513655,Sephora,1,61.87709734650721,31.97509314019169,5.023343667769154,32.36727611227812,31.312653061224488
Charlotte Tilbury,Matte Revolution Hydrating Lipstick,Gracefully Pink,matte,pink,Sephora pink lipstick listings,L0097,lipstick_images/swatches/L0097.jpg,https://www.temptalia.com/wp-content/uploads/2015/09/charlottetilbury_amazinggrace003.jpg,https://www.temptalia.com/product/charlotte-tilbury-matte-revolution-lipstick/gracefully-pink/,Temptalia,1,53.25634024908637,54.329415543643734,23.97408418624292,59.38385391571501,14.46021052631579
TOM FORD,"Runway Lipstick Color with Hydrating, 12H Longwear",Spanish Pink,,pink,Sephora pink lipstick listings,L0098,lipstick_images/swatches/L0098.jpg,https://www.temptalia.com/wp-content/uploads/2017/08/tom-ford-beauty_spanish-pink_003_swatch.jpg,https://www.temptalia.com/product/tom-ford-beauty-lip-color/spanish-pink/,Temptalia,2,61.763249167936394,41.15285780219236,21.44981910759691,46.40746109232969,14.100631578947368
Laura Mercier,Caviar Smoothing Matte Lipstick,168 Pink Chiffon,matte,pink,Sephora pink lipstick listings,L0099,lipstick_images/swatches/L0099.jpg,,,,1,53.213064709500195,18.779926643222524,5.337507496919329,19.5236940921663,53.571267114440715
Givenchy,Le Rouge Velvet Matte Long-Lasting Lipstick,P227 Pink Silhouette,velvet matte,pink,Sephora pink lipstick listings,L0100,lipstick_images/swatches/L0100.jpg,https://www.cityperfume.com.au/assets/alt_2/P000361.webp?20251022122549,https://www.cityperfume.com.au/givenchy-le-rouge-velvet-matte-lipstick-p227-pink?srsltid=AfmBOoq2TylBVPnhU2YAB7sFGJpgp4NI0_BLzw9n68FpZJEmZgwrBbDX,City Perfume,4,51.61993661903116,35.995541229536286,16.359215133538243,39.5386255222995,22.9016015625
PAT McGRATH LABS,MatteTrance™ Lipstick - Divine Rose Collection,Divine Rose,matte,pink,Sephora pink lipstick listings,L0101,lipstick_images/swatches/L0101.jpg,https://www.temptalia.com/wp-content/uploads/2021/02/pat-mcgrath_divine-rose_018_product.jpg,https://www.temptalia.com/product/pat-mcgrath-mattetrance-lipstick/divine-rose/,Temptalia,0,44.62386421759336,34.97202555170148,16.812395133438258,38.803340079324606,22.99428670360111
